miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)				
MIRT001225	hsa-miR-16-5p	Homo sapiens	CCND1	595	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	18483394				
MIRT001225	hsa-miR-16-5p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19591824				
MIRT001225	hsa-miR-16-5p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//flow//Western blot//Luciferase reporter assay	Functional MTI	18701644				
MIRT001225	hsa-miR-16-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	18931683				
MIRT001225	hsa-miR-16-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	19549910				
MIRT001225	hsa-miR-16-5p	Homo sapiens	CCND1	595	Homo sapiens	Western blot	Functional MTI	24148817				
MIRT001227	hsa-miR-15a-5p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19591824				
MIRT001227	hsa-miR-15a-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	19549910				
MIRT001227	hsa-miR-15a-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	18931683				
MIRT001227	hsa-miR-15a-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	26993269				
MIRT002484	hsa-let-7b-5p	Homo sapiens	CCND1	595	Homo sapiens	Immunoblot//Immunofluorescence//Luciferase reporter assay//qRT-PCR//Reporter assay	Other	Functional MTI	18379589			
MIRT002484	hsa-let-7b-5p	Homo sapiens	CCND1	595	Homo sapiens	immunoblot//Luciferase reporter assay//Northern blot//Western blot	Functional MTI	20133835				
MIRT002484	hsa-let-7b-5p	Homo sapiens	CCND1	595	Homo sapiens	Immunoblot//Microarray//qRT-PCR//Western blot//Annexin V-FITC	Functional MTI	23806108				
MIRT003426	hsa-miR-19a-3p	Homo sapiens	CCND1	595	Homo sapiens	flow//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	20133739				
MIRT003637	hsa-miR-302a-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	18710938				
MIRT003637	hsa-miR-302a-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Microarray//Northern blot//Western blot	Functional MTI	21062975				
MIRT003913	hsa-miR-15b-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//QRTPCR//Western blot	Functional MTI	24995320				
MIRT004679	hsa-miR-449a	Homo sapiens	CCND1	595	Homo sapiens	Flow//Immunoblot//Luciferase reporter assay	Functional MTI	20948989				
MIRT004679	hsa-miR-449a	Homo sapiens	CCND1	595	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24248414				
MIRT005287	hsa-miR-17-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	18695042				
MIRT005287	hsa-miR-17-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	21283765				
MIRT005671	hsa-miR-302c-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Microarray//Northern blot//Western blot	Functional MTI	21062975				
MIRT005861	hsa-miR-106b-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	21283765				
MIRT006122	hsa-let-7e-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21969366				
MIRT006122	hsa-let-7e-5p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//Western blot	Functional MTI	24100610				
MIRT006242	hsa-miR-365a-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22072615				
MIRT006242	hsa-miR-365a-3p	Homo sapiens	CCND1	595	Homo sapiens	Flow//In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	24149576				
MIRT006242	hsa-miR-365a-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	24936138				
MIRT006276	hsa-miR-19b-1-5p	Homo sapiens	CCND1	595	Homo sapiens	Western blot	Functional MTI	22197821				
MIRT006283	hsa-miR-520b	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	22319632				
MIRT006290	hsa-miR-34b-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22113133				
MIRT006822	hsa-miR-338-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	22942717				
MIRT006822	hsa-miR-338-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	22912826				
MIRT007372	hsa-miR-9-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	23383271				
MIRT016658	hsa-miR-425-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	23174883				
MIRT020946	hsa-miR-155-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22858023				
MIRT020946	hsa-miR-155-5p	Homo sapiens	CCND1	595	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26955820				
MIRT023800	hsa-miR-1-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27247259				
MIRT032092	hsa-let-7f-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	22894925				
MIRT053080	hsa-miR-138-5p	Homo sapiens	CCND1	595	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22739938				
MIRT053230	hsa-miR-106a-5p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//Western blot	Functional MTI	23836497				
MIRT053476	hsa-miR-27a-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	21569481				
MIRT054359	hsa-miR-383-5p	Homo sapiens	CCND1	595	Homo sapiens	Immunofluorescence//Immunohistochemistry//In situ hybridization//Luciferase reporter assay//Microarray//QRTPCR//Western blot	Functional MTI	23640459				
MIRT054359	hsa-miR-383-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	25450356				
MIRT054840	hsa-miR-490-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24440705				
MIRT054910	hsa-miR-603	Homo sapiens	CCND1	595	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	23384558				
MIRT060555	hsa-miR-340-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25817794				
MIRT241527	hsa-miR-374a-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	27191497				
MIRT246929	hsa-miR-193a-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	27307030				
MIRT268278	hsa-miR-520a-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28123641				
MIRT437387	hsa-miR-708-5p	Homo sapiens	CCND1	595	Homo sapiens	Flow//qRT-PCR//Western blot	Functional MTI	23754151				
MIRT438346	hsa-miR-29a-3p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//Western blot	Functional MTI	25889078				
MIRT438427	hsa-miR-24-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	23174883				
MIRT438428	hsa-miR-152-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	23174883				
MIRT438439	hsa-miR-206	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	25111862				
MIRT438439	hsa-miR-206	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	24107628				
MIRT479773	hsa-miR-95-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25971210				
MIRT731612	hsa-miR-2861	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	27364926				
MIRT733071	hsa-miR-34a-3p	Homo sapiens	CCND1	595	Homo sapiens	Western blot	Functional MTI	27364974				
MIRT733409	hsa-miR-3940-5p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//Western blot	Functional MTI	27988424				
MIRT734031	hsa-miR-34c-5p	Homo sapiens	CCND1	595	Homo sapiens	Next Generation Sequencing (NGS)//qRT-PCR//Western blot	Functional MTI	26795575				
MIRT734413	hsa-miR-101-3p	Homo sapiens	CCND1	595	Homo sapiens	Western blot	Functional MTI	26286725				
MIRT734422	hsa-miR-146a-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27494902				
MIRT734524	hsa-miR-576-3p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//Western blot//Luciferase reporter assay	Functional MTI	25556372				
MIRT734607	hsa-miR-211-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	25889927				
MIRT734951	hsa-let-7a-3p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	25702703				
MIRT000112	hsa-miR-26a-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19524505				
MIRT000285	hsa-miR-15a-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay	Functional MTI	19549910				
MIRT003431	hsa-miR-16-5p	Homo sapiens	CCND2	894	Homo sapiens	qRT-PCR//Western blot	Functional MTI	26393798				
MIRT003555	hsa-miR-302b-3p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	18930031				
MIRT003835	hsa-let-7b-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay	Functional MTI	17699775				
MIRT003835	hsa-let-7b-5p	Homo sapiens	CCND2	894	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//QRTPCR//Western blot	Functional MTI	23482325				
MIRT005478	hsa-let-7a-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	20418948				
MIRT005478	hsa-let-7a-5p	Homo sapiens	CCND2	894	Homo sapiens	qRT-PCR//Western blot	Functional MTI	26393798				
MIRT005673	hsa-miR-302d-3p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay//Microarray//Northern blot//Western blot	Functional MTI	21062975				
MIRT005848	hsa-miR-17-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay	Functional MTI	21283765				
MIRT005854	hsa-miR-20a-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay	Functional MTI	21283765				
MIRT005862	hsa-miR-106b-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay	Functional MTI	21283765				
MIRT007064	hsa-miR-182-5p	Homo sapiens	CCND2	894	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22848417				
MIRT007217	hsa-miR-206	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay	Functional MTI	23348698				
MIRT007217	hsa-miR-206	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay	Functional MTI	23466356				
MIRT053579	hsa-miR-29a-3p	Homo sapiens	CCND2	894	Homo sapiens	Immunofluorescence//Immunohistochemistry//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot	Functional MTI	24130168				
MIRT053579	hsa-miR-29a-3p	Homo sapiens	CCND2	894	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot//Cell proliferation//apoptosis//cell cycle assays	Functional MTI	24076586				
MIRT053581	hsa-miR-29b-3p	Homo sapiens	CCND2	894	Homo sapiens	Immunofluorescence//Immunohistochemistry//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot	Functional MTI	24130168				
MIRT053581	hsa-miR-29b-3p	Homo sapiens	CCND2	894	Homo sapiens	qRT-PCR//Western blot	Functional MTI	26393798				
MIRT053582	hsa-miR-29c-3p	Homo sapiens	CCND2	894	Homo sapiens	Immunofluorescence//Immunohistochemistry//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot	Functional MTI	24130168				
MIRT054162	hsa-miR-191-5p	Homo sapiens	CCND2	894	Homo sapiens	Immunoprecipitation//In situ hybridization//Luciferase assay//Microarray//Northern blot//QRTPCR//Western blot	Functional MTI	23505378				
MIRT054891	hsa-miR-30c-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23318178				
MIRT054911	hsa-miR-603	Homo sapiens	CCND2	894	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	23384558				
MIRT054918	hsa-miR-124-3p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23404119				
MIRT134736	hsa-miR-98-5p	Homo sapiens	CCND2	894	Homo sapiens	GFP reporter assay	Functional MTI	26840039				
MIRT438119	hsa-miR-154-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay	Functional MTI	23428540				
MIRT548991	hsa-miR-340-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25817794				
MIRT733100	hsa-let-7a-3p	Homo sapiens	CCND2	894	Homo sapiens	qRT-PCR//Western blot	Functional MTI	26393798				
MIRT733101	hsa-miR-16-1-3p	Homo sapiens	CCND2	894	Homo sapiens	qRT-PCR//Western blot	Functional MTI	26393798				
MIRT734402	hsa-miR-203a-5p	Homo sapiens	CCND2	894	Homo sapiens	Western blot	Functional MTI	26278219				
MIRT734421	hsa-miR-146a-5p	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27494902				
MIRT734468	hsa-miR-155-5p	Homo sapiens	CCND2	894	Homo sapiens	qRT-PCR//Western blot	Functional MTI	26986233				
MIRT735205	hsa-miR-198	Homo sapiens	CCND2	894	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26225959				
MIRT000937	hsa-miR-424-5p	Homo sapiens	CCND3	896	Homo sapiens	qRT-PCR//flow//Luciferase reporter assay//Western blot	Functional MTI	18701644				
MIRT000940	hsa-miR-16-5p	Homo sapiens	CCND3	896	Homo sapiens	qRT-PCR//flow//Luciferase reporter assay//Western blot	Functional MTI	18701644				
MIRT006246	hsa-miR-195-5p	Homo sapiens	CCND3	896	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22217655				
MIRT006246	hsa-miR-195-5p	Homo sapiens	CCND3	896	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23544130				
MIRT006299	hsa-miR-138-5p	Homo sapiens	CCND3	896	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22362728				
MIRT006299	hsa-miR-138-5p	Homo sapiens	CCND3	896	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	23208504				
MIRT006299	hsa-miR-138-5p	Homo sapiens	CCND3	896	Homo sapiens	Western blot	Functional MTI	26823826				
MIRT053075	hsa-miR-503-5p	Homo sapiens	CCND3	896	Homo sapiens	Flow//qRT-PCR//Western blot	Functional MTI	23967867				
MIRT437796	hsa-miR-497-5p	Homo sapiens	CCND3	896	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23544130				
MIRT732725	hsa-miR-15b-5p	Homo sapiens	CCND3	896	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	26144250				
MIRT735207	hsa-miR-15b-3p	Homo sapiens	CCND3	896	Homo sapiens	Western blot	Functional MTI	26191187				
MIRT000276	hsa-miR-15b-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19135980				
MIRT000276	hsa-miR-15b-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay	Functional MTI	18794849				
MIRT000646	hsa-miR-503-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay	Functional MTI	19956200				
MIRT000936	hsa-miR-424-5p	Homo sapiens	CCNE1	898	Homo sapiens	qRT-PCR//flow//Western blot	Functional MTI	18701644				
MIRT000936	hsa-miR-424-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay	Functional MTI	19956200				
MIRT000936	hsa-miR-424-5p	Homo sapiens	CCNE1	898	Homo sapiens	Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	21179471				
MIRT001226	hsa-miR-16-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19250063				
MIRT001226	hsa-miR-16-5p	Homo sapiens	CCNE1	898	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19591824				
MIRT001226	hsa-miR-16-5p	Homo sapiens	CCNE1	898	Homo sapiens	qRT-PCR//flow//Luciferase reporter assay//Western blot	Functional MTI	18701644				
MIRT001226	hsa-miR-16-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay	Functional MTI	23083510				
MIRT001226	hsa-miR-16-5p	Homo sapiens	CCNE1	898	Homo sapiens	Western blot	Functional MTI	26397135				
MIRT001226	hsa-miR-16-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25830480				
MIRT001228	hsa-miR-15a-5p	Homo sapiens	CCNE1	898	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19591824				
MIRT001228	hsa-miR-15a-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay	Functional MTI	19549910				
MIRT001228	hsa-miR-15a-5p	Homo sapiens	CCNE1	898	Homo sapiens	immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR	Functional MTI	19117988				
MIRT001228	hsa-miR-15a-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23900351				
MIRT001228	hsa-miR-15a-5p	Homo sapiens	CCNE1	898	Homo sapiens	Western blot	Functional MTI	26397135				
MIRT004762	hsa-miR-103a-3p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	20886090				
MIRT006308	hsa-miR-26b-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22210897				
MIRT006309	hsa-miR-26a-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22210897				
MIRT006741	hsa-miR-16-1-3p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay	Functional MTI	19944013				
MIRT007237	hsa-miR-195-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay	Functional MTI	23383003				
MIRT007237	hsa-miR-195-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23544130				
MIRT035523	hsa-miR-151a-3p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay	Functional MTI	23416081				
MIRT081649	hsa-miR-497-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	24112607				
MIRT081649	hsa-miR-497-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23544130				
MIRT438133	hsa-miR-7-5p	Homo sapiens	CCNE1	898	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24370822				
MIRT438133	hsa-miR-7-5p	Homo sapiens	CCNE1	898	Homo sapiens	qRT-PCR//Western blot	Functional MTI	27391479				
MIRT733155	hsa-miR-25-5p	Homo sapiens	CCNE1	898	Homo sapiens	qRT-PCR//Western blot	Functional MTI	27120728				
MIRT734118	hsa-miR-30c-2-3p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25732226				
MIRT735303	hsa-miR-144-5p	Homo sapiens	CCNE1	898	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR	Functional MTI	26057453				
MIRT000111	hsa-miR-26a-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19524505				
MIRT000111	hsa-miR-26a-5p	Homo sapiens	CCNE2	9134	Homo sapiens	qRT-PCR//Western blot	Functional MTI	28120942				
MIRT000645	hsa-miR-503-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay	Functional MTI	19956200				
MIRT000766	hsa-miR-34c-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay	Functional MTI	19461653				
MIRT000767	hsa-miR-34b-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay	Functional MTI	19461653				
MIRT000768	hsa-miR-34a-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay	Functional MTI	19461653				
MIRT000768	hsa-miR-34a-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay//Western blot//Microarray	Functional MTI	17914404				
MIRT006303	hsa-miR-30b-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	22384020				
MIRT006303	hsa-miR-30b-5p	Homo sapiens	CCNE2	9134	Homo sapiens	qRT-PCR//Western blot	Functional MTI	28120942				
MIRT006347	hsa-miR-449a	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	21418558				
MIRT006350	hsa-miR-449b-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	21418558				
MIRT006665	hsa-miR-200a-3p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay	Functional MTI	22183793				
MIRT006666	hsa-miR-200b-3p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay	Functional MTI	22183793				
MIRT006667	hsa-miR-200c-3p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay	Functional MTI	22183793				
MIRT731697	hsa-miR-664b-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Immunofluorescence//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28176879				
MIRT733026	hsa-miR-30a-5p	Homo sapiens	CCNE2	9134	Homo sapiens	qRT-PCR//Western blot	Functional MTI	26555189				
MIRT733026	hsa-miR-30a-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Flow//Immunohistochemistry//Luciferase reporter assay//qRT-PCR	Functional MTI	27431942				
MIRT735304	hsa-miR-144-5p	Homo sapiens	CCNE2	9134	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR	Functional MTI	26057453				
MIRT000643	hsa-miR-503-5p	Homo sapiens	CCNF	899	Homo sapiens	Luciferase reporter assay	Functional MTI	19956200				
MIRT000653	hsa-miR-424-5p	Homo sapiens	CCNF	899	Homo sapiens	Luciferase reporter assay	Functional MTI	19956200				
MIRT003006	hsa-miR-122-5p	Homo sapiens	CCNG1	900	Homo sapiens	Reporter assay	Functional MTI	17616664				
MIRT003006	hsa-miR-122-5p	Homo sapiens	CCNG1	900	Homo sapiens	Western blot	Functional MTI	19584283				
MIRT003006	hsa-miR-122-5p	Homo sapiens	CCNG1	900	Homo sapiens	Reporter assay	Western blot	Functional MTI	18692484			
MIRT003006	hsa-miR-122-5p	Homo sapiens	CCNG1	900	Homo sapiens	qRT-PCR//Western blot	Functional MTI	27528885				
MIRT006782	hsa-miR-9-5p	Homo sapiens	CCNG1	900	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22761433				
MIRT732081	hsa-miR-27b-3p	Homo sapiens	CCNG1	900	Homo sapiens	Immunohistochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26623719				
MIRT732638	hsa-miR-23b-3p	Homo sapiens	CCNG1	900	Homo sapiens	Luciferase reporter assay	Functional MTI	26872615				
MIRT734745	hsa-miR-1271-5p	Homo sapiens	CCNG1	900	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	26477861				
MIRT733281	hsa-miR-340-5p	Homo sapiens	CCNG2	901	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27374211				
MIRT733645	hsa-miR-93-3p	Homo sapiens	CCNG2	901	Homo sapiens	Luciferase reporter assay	Functional MTI	25309979				
MIRT007106	hsa-miR-98-5p	Homo sapiens	CCNJ	54619	Homo sapiens	Luciferase reporter assay	Functional MTI	23188821				
MIRT263904	hsa-miR-125b-5p	Homo sapiens	CCNJ	54619	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	24098452				
MIRT735404	hsa-miR-205-5p	Homo sapiens	CCNJ	54619	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	26469956				
MIRT054630	hsa-miR-199b-5p	Homo sapiens	CCNL1	57018	Homo sapiens	ChIP-seq//Flow//qRT-PCR//Western blot	Functional MTI	24608802				
MIRT054630	hsa-miR-199b-5p	Homo sapiens	CCNL1	57018	Homo sapiens	qRT-PCR//Western blot	Functional MTI	26043836				
MIRT004603	hsa-miR-198	Homo sapiens	CCNT1	904	Homo sapiens	Luciferase reporter assay	Functional MTI	19148268				
MIRT006547	hsa-miR-27b-3p	Homo sapiens	CCNT1	904	Homo sapiens	Flow//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	22205749				
MIRT052995	hsa-miR-142-3p	Homo sapiens	CCNT2	905	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22493297				
MIRT052997	hsa-miR-29a-3p	Homo sapiens	CCNT2	905	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22493297				
MIRT006725	hsa-miR-129-2-3p	Homo sapiens	CCP110	9738	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22684256				
MIRT006725	hsa-miR-129-2-3p	Homo sapiens	CCP110	9738	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot//Immunohistochemistry	Functional MTI	26487539				
MIRT054540	hsa-miR-518a-3p	Homo sapiens	CCR6	1235	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR	Functional MTI	24559209				
MIRT438120	hsa-miR-150-5p	Homo sapiens	CCR6	1235	Homo sapiens	ELISA//Immunohistochemistry//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot	Functional MTI	24385540				
MIRT731937	hsa-miR-150-3p	Homo sapiens	CCR6	1235	Homo sapiens	Western blot	Functional MTI	27935859				
MIRT006813	hsa-let-7a-5p	Homo sapiens	CCR7	1236	Homo sapiens	Luciferase reporter assay//Northern blot//qRT-PCR//Western blot	Functional MTI	22251626				
MIRT732313	hsa-miR-199a-5p	Homo sapiens	CCR7	1236	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	27814720				
